abstract,author,title,year
"This paper presents a Angle Stability Solution Using coordinated  Facts Devices located in different areas of a power system. Analysis of initial conditions and a contingency analysis to determine the voltage stability margin and voltage variations at different  critical nodes are held. The response is carried out by the coordination of multiple-type FACTS devices due to which the reactive power is compensated, improving the voltage stability margin at the critical nodes.","Dr. K.T. Chaturvedi, Kripashankar Pandeya",A study on Angle Stability Solution Using coordinated  Facts Devices,"Home,Vol 1, No 2 (2012),Chaturvedi"
"Due to the rapid technological progress, the consumption of electric energy increases continuously. But the transmission systems are not extended to the same extent because building  of new lines is difficult for environmental as well as political  reasons. Hence, the systems are driven closer to their limits resulting in congestions and critical situations endangering the system security.Power Flow Control devices such as Flexible  AC Transmission Systems (FACTS) provide the opportunity to inﬂuence power ﬂows and voltages and therefore to enhance system security, e.g. by resolving congestions and improving the voltage proﬁle. Even though the focus lies on Static Var Compensators (SVC), Thyristor-Controlled  Series Compensators (TCSC) and Thyristor-Controlled Phase Shifting Transformers (TCPST), the developed methods can also be applied to any arbitrary controllable devices. In order to beneﬁt from these devices, an appropriate control is necessary. In this thesis, an Optimal  Power Flow problem is formulated and solved to ﬁnd the optimal device settings.","Dr. K.T. Chaturvedi, Rohit Kumar Gupta",An approach towards FACTS Devices Installation Strategy for Transmission Loadability Enhancement Using Fuzzy Logic Controller,"Home,Vol 1, No 2 (2012),Chaturvedi"
,"Mohit Kumar Goel, Dr. Neelu Jain",A RSA- DWT Based Visual Cryptographic Steganogrphy Technique,"Home,Vol 1, No 2 (2012),Goel"
,,,
,,,
,"Abhilasha Sharma, Rajdeep Singh, Jitendra S Rathore",Light-weight Authentication System and Resource Monitoring using MAS,"Home,Vol 1, No 2 (2012),Sharma"
,"Rushabh Mehta, Dhaval Mehta, Disha Chheda, Charmi Shah, Pramila M. Chawan",Sentiment Analysis and Influence Tracking using Twitter,"Home,Vol 1, No 2 (2012),Mehta"
,,,
,"Prof. A. S. Bhide, Priyanka Patil, Shraddha Dhande",Brain Segmentation using Fuzzy C means clustering to detect tumour Region,"Home,Vol 1, No 2 (2012),Bhide"
,,,
,"Prof. Trupti. H. Nagrare, Ms. Chetana. P. Dodke",Implementation of Human Health Monitoring using Zigbee,"Home,Vol 1, No 2 (2012),Nagrare"
,Shubhangi Sapkal,DATA LEVEL FUSION FOR MULTI BIOMETRIC SYSTEM USING FACE AND FINGER,"Home,Vol 1, No 2 (2012),Sapkal"
,"Amar Mandal, Rupali Syal",Tripartite Modular Multiplication using Toom-Cook Multiplication,"Home,Vol 1, No 2 (2012),Mandal"
"Intrusion detection is a software application that monitors network and/or system activities for malicious activities or policy violations and produces reports to a Management Station. Security is becoming big issue for all networks. Hackers and intruders have made many successful attempts to bring down high profile company networks and web services. Intrusion Detection System (IDS) is an important detection that is used as a countermeasure to preserve data integrity and system availability from attacks. The work is implemented in two phases, in first phase clustering by K-means is done and in next step of classification is done with k-nearest neighbours and decision trees. The objects are clustered or grouped based on the principle of maximizing the intra-class  similarity and minimizing the interclass similarity. This paper proposes an approach which make the clusters of similar attacks and in next step  of classification with K nearest neighbours and Decision trees it detect the attack types. This method is advantageous over single classifier as it detect better class than single classifier system.","Priyanka J. Pathak, Prof. Snehlata Dongre",Attack Detection By Clustering And Classification Approach,"Home,Vol 1, No 2 (2012),Pathak"
"This paper focus on an segmentation approach for digital image.  The technique used is to find two main regions ie. The region of interest(foreground) and the background .  the segmentation is the a major problem in computer graphics and computer vision.  There are demands for extracting the region of interest from the image. Therefore it will be more useful to be able to extract the region of interest for further analysis. We have applied PSO  the particle swarm optimization technique, which is an evolutionary computational algorithm. It is a fast and accurate optimization technique applied to the  problem. We have used is Boykov-Kolmogorov max/min cut flow algorithm.  This algorithm is widely used in computer vision and image processing field for its efficiency and speed when dealing with the problem. Graph cut used in this paper  is for segmenting the image. The segmented image is the foreground and the background of the input image.  We have applied our technique for many images, and two of the results are discussed.","Shameem Akthar, Dr. D Rajayalakshmi, Dr. Syed Abdul Sattar",Contour Detection Using PSO and Graph Cut,"Home,Vol 1, No 2 (2012),Akthar"
"This paper presents the design of a first order       1-bit sigma-delta oversampling analog-to-digital converter (ADC) which is realized using CMOS technology .Power consumption is the major issue in VLSI Design. In this paper an efficient low power first Order 1-bit Sigma-Delta ADC designed which accept input signal bandwidth of 10 KHz and a 5 MHz sampling clock frequency and implemented in a standard 0.18μm n-well CMOS process. The ADC operates at 2.5 reference voltage. The Simulation of design is done by using Ngspice Simulation Software[8].  This paper firstly elaborate about ADC types and Classification among Nyquist rates and Oversampling ADCs. Further, design of    1-bit Sigma Delta ADC is to be proposed which consists of Opamp as a key component in Sigma delta ADC. Opamp at integrator stage is with the open loop voltage gain 10,530V/V, Gain Bandwidth (GB) is 5MHz, output resistance is 122.5KΩ, and power dissipation is                 0.806 mW.  Finally, a first order 1-bit Sigma Delta ADC is implemented using ±2.5 power supply and simulation results are plotted using Ngspice tool.","Anup G. Dakre, Prof. A.M. Chopde",Design and Simulation of 1-Bit Sigma–Delta ADC Using Ngspice Tool,"Home,Vol 1, No 2 (2012),Dakre"
,,,
,"Ms. Nutan D. Sonwane, Prof. S.A. Chhabria, Dr. R.V. Dharaskar",Self Organizing Markov Map for Speech and Gesture Recognition,"Home,Vol 1, No 2 (2012),Sonwane"
,"Chandrasen S Janjal, Dr. K. B. Khanchandani",Design and Development Model of Solar Grid Tied Photovoltaic Power Inverter for Nagpur,"Home,Vol 1, No 2 (2012),Janjal"
"Blocking artifact is one of the most annoying artifacts in the image compression coding. In order to improve the quality of the reconstructed image several deblocking algorithms have been proposed. A high-quality modified image deblocking algorithm based on the shape-adaptive DCT (SA-DCT) is shown. The SA-DCT is a low-complexity transform which can be computed on a support of arbitrary shape. This transform has been adopted by the MPEG-4 standard and it is found implemented in modern video hardware. This approach has been used for the deblocking of block-DCT compressed images. In this paper we see modified pointwise SA-DCT method based on adaptive DCT threshold coefficient instead of constant DCT threshold coefficient used by the original pointwise SA-DCT method. Extensive simulation experiments attest the advanced performance of the proposed filtering method. The visual quality of the estimates is high, with sharp detail preservation, clean edges. Blocking artifacts are suppressed while salient image features are preserved.","Chandan Singh D. Rawat, Rohan K. Shambharkar, Sukadev Meher",MODIFIED POINTWISE SHAPE-ADAPTIVE DCT FOR HIGH-QUALITY DEBLOCKING OF COMPRESSED IMAGES,"Home,Vol 1, No 2 (2012),Rawat"
,"Anish Kumar, Anita panwar, Ashok kumar",Energy Efficient Clustering and Routing Techniques for Wireless Sensor Networks,"Home,Vol 1, No 2 (2012),Kumar"
,"Ms. Shraddha N. Utane, Prof. V. K. Shandilya",FULL- REFERENCE  METRIC FOR IMAGE QUALITY ASSESSMENT,"Home,Vol 1, No 2 (2012),Utane"
,"Swarnjeet Kaur, Deepak Saini, Amandeep Sappal",Band Gap Simulations of 1-Dimensional Photonic Crystal,"Home,Vol 1, No 2 (2012),Kaur"
,"Sandeep Kaur, Harjinder Singh, Amandeep Singh Sappal",Carrier Frequency Offset Estimation for OFDM Systems Using Time/Frequency-Domain Techniques,"Home,Vol 1, No 2 (2012),Kaur"
,"A.Sankara Narayanan, M.Mohamed Ashik",OPEN SOURCE TOOLS FOR SECURITY ASSESSMENT,"Home,Vol 1, No 3 (2012),Narayanan"
"Technology scaling continuously increasing number of component and complexity for System on Chip systems [1]. For effective global on-chip communication, on-chip routers provide essential routing functionality with low complexity and relatively high performance [1]. The low latency and high speed is achieved by allowing routing function for each input port and distributed arbiters which gives high level of parallelism [4]. This paper will provide an Design and implementation of on-chip router architecture.","Priti B. Domkondwar, Dr. D.S. Chaudhari",Implementation of Five Port Router Architecture Using VHDL,"Home,Vol 1, No 3 (2012),Domkondwar"
"Embedded multiprocessor design presents challenges and opportunities that stem from task coarse granularity and the large number of inputs and outputs for each task. We have therefore designed a new architecture called embedded concurrent computing (ECC), which is implement on FPGA chip using VHDL. The performances of a realistic application show scalable speedups comparable to that of the simulation. The design methodology is expected to allow scalable embedded multiprocessors for system expansion. In recent decades, two forces have driven the increase of the processor performance: Advances in very large-scale integration (VLSI) technology and Micro architectural enhancements. Therefore, we aim to design the full architecture of an embedded processor for realistic to perform arithmetic, logical, shifting and branching operations. We will be synthesize and evaluated the embedded system based on Xilinx environment. Processor performance is going to be improving through clock speed increases and the clock speed increases and the exploitation of instruction- level parallelism. We synthesized and evaluated the embedded system based on an Modelsim environment.  ","Mr. Sumedh S. Jadhav, Prof. C. N. Bhoyar",HDL- Based Embedded Multiprocessor Architecture,"Home,Vol 1, No 3 (2012),Jadhav"
,Sandeep Kaur,Development and Application of Chi-Square in R: A Case Study on Indian Computer Industries,"Home,Vol 1, No 3 (2012),Kaur"
,"Dr. R.Satya Prasad, V. Goutham",A Study on Statistical Process Control (SPC) in Software Reliability,"Home,Vol 1, No 3 (2012),Prasad"
,,,
"Internet makes life easier, provides a best platform to do business and increases the employment and lots more the list is endless. Everything has two sides; the dark side of internet is its openness. Data are most precious in computer world, and any valuable things are viable target for thieves (hackers, crackers or intruder). Security threats are always around in such openness (Internet) environment. Intruders always search for vulnerabilities [16] or flaws in target system and attack using different techniques. The main features of agents are intelligence and mobility which is the core motivation to us to designed cost effective Agent based Intrusion Prevention System (AIPS). In this paper we have reviewed all known methods of IDPS.",Jitendra Singh Rathore,Survey on Intrusion Detection and Prevention System and Proposed Cost Effective Solution Using Software Agent,"Home,Vol 1, No 3 (2012),Rathore"
,,,
,"Dipali Avinash Nikam, Amol B. Rajmane",Cluster Based Web Search,"Home,Vol 1, No 3 (2012),Nikam"
,"Jasbir Kaur, Naveen Kr. Gahlan, Prabhat Shukla",DELAY-POWER PERFORMANCE COMPARISON OF ARRAY MULTIPLIER IN VLSI DESIGN,"Home,Vol 1, No 3 (2012),Kaur"
 ,"Preety Poswal, A.K. Sahoo, Vinit K. Gunjan",An Efficient Algorithm for Optimization Parameters of QoS in Multimedia Applications over an Ad-hoc Network,"Home,Vol 1, No 3 (2012),Poswal"
,Ms. Sonali B. Madankar,Intelligent Rain sensing Smart Windshield wiper system,"Home,Vol 1, No 3 (2012),Madankar"
,,,
,"Nirali R. Sheth, J. S. Shah",Implementing Parallel Data Mining Algorithm on High Performance Data Cloud,"Home,Vol 1, No 3 (2012),Sheth"
 ,"Mr. Nitesh A Ghodichor, Mr. Sadanand S. Patil",2D Approach for CPU Scheduling in Real Time Database System,"Home,Vol 1, No 3 (2012),Ghodichor"
"Watermarking is the technique of adding watermark inside image in such a way that when an unauthorized user tries to use the image with a watermark, he can be caught on the basis of copyrights grounds. Addition of Watermark can be done in visible and invisible manner. Visible watermark places a watermark over an image in such way that it is visible to all the users about the owner of the image and invisible watermarking is done in such a way that watermark content is hidden from the user. This paper presents both invisible and visible watermarking methods applied on digital images for copyright protection and number of attacks that are applied on watermarked images to test the quality of a data. In our purposed scheme we are going to apply DWT (Discrete Wavelet Transform) to both visible and Invisible Methods. The results are calculated by implemented our purposed scheme with the help of Graphical User Interface in MATLAB 7.6.0. The results are formulated by the calculation of PSNR and BER.","Chirag Sharma, Deepak Prashar",Visible and Invisible Watermarking Methods for Quality loss of data,"Home,Vol 1, No 3 (2012),Sharma"
"Motion estimation is one of the key elements of many video compression schemes. Motion estimation is the process of determining motion vectors that describe the transformation from one image to another; usually from adjacent frames in a video sequence. In this paper we discuss four-step search algorithm, which is a type of block matching algorithm and use for finding motion vector. Four-step search algorithm estimate the amount of motion on a block-by-block basis, i.e. for each block in the current frame, a block from the previous frame is found, that is said to match this block based on a certain criterion. We consider 64* 64 pixel images and find motion vector. This paper presents a feasible study of “Motion Estimation by using VHDL for four-step search algorithm”.",Ms. Maya Gaikwad,Implementation of four step search algorithm of motion estimation using FPGA,"Home,Vol 1, No 3 (2012),Gaikwad"
,"I. Padmaja, N. Bala Subrmanyam, N. Deepika Rani, G. Tirumala Rao",Linear Array Geometry Synthesis Using Genetic Algorithm for Optimum Side Lobe Level and Null,"Home,Vol 1, No 3 (2012),Padmaja"
The capacity of the available buffer size in a node is limited. The limited buffer size of each node leads to congestion in the network. In such a case management of buffer in a node plays important role. We propose compression technique that helps to reduce the burden on the buffer and increases the throughput of the network. The proposed compression technique is implemented on hardware and operates real-time to capture data. For the implementation of proposed compression technique we are using a hardware called AVR kit AT mega 32.There are two kits which are act as two nodes in the network. These two nodes are sending data packets in form of bytes to each other. For the data compression we are using Run Length encoding algorithm which show that the proposed technique gives better compression result compared to prior works.,"Ms. Amruta A. Deshmukh, Mrs. Veena Gulhane",Use of Compression Technique to Improve Efficiency of Buffer   in Mobile Network,"Home,Vol 1, No 3 (2012),Deshmukh"
,"Dr.Anjali S. Bhalchandra, Ajinkya P. Nilawar",Image  Retrieval Using Shape Measures and BTC,"Home,Vol 1, No 3 (2012),Bhalchandra"
,"Ruby Verma, Pankaj Garg",Comparative analysis of self phase modulation (SPM) and cross phase modulation (CPM),"Home,Vol 1, No 3 (2012),Verma"
 ,"Rupali V Satpute, Dr. Ram Chand Sethi, Prof. N S Killarikar",Wireless based Operation and control of Electron Gun for Medical LINAC (Linear Accelerator),"Home,Vol 1, No 3 (2012),Satpute"
,"Dheeraj Kumar Anand, Shiva Prakash",Energy Efficient DSDV (EEDSDV) Routing Protocol for Mobile Ad hoc Wireless Network,"Home,Vol 1, No 3 (2012),Anand"
,,,
,"Ms. Prachi K. Gonnade, Mr. Bhushan N. Mahajan",Managing the Location Information by Using RACC Approach in Wireless Sensor Network,"Home,Vol 1, No 3 (2012),Gonnade"
 ,"Prachi Jaini, Nekita Chavhan",Accidental Warning System in WSN using WAVE to Avoid Collision,"Home,Vol 1, No 3 (2012),Jaini"
"The area of clone detection has considerably evolved over the last decade, leading to approaches with better results. Since code clones are believed to reduce the maintainability of software, several code clone detection techniques and tools have been proposed. Token-by token matching technique is more expensive than line-by-line matching in terms of computing complexity since a single line is usually composed of several tokens. In this paper token based tools have been evaluated that is, CCfinder and PMD copy/paste detector on the basis of three types of metrics that is, clone set metrics , file metrics , line metrics to investigate the code clones in  source files. The results of the analysis processes show that each tool has its own strengths and weaknesses and no single tool is able to identify all clones within the code.","Rupinder Kaur, Harpreet Kaur, Prabhjot Kaur",EVALUATION OF TOKEN BASED TOOLS ON THE BASIS OF CLONE METRICS,"Home,Vol 1, No 3 (2012),Kaur"
,Prof. Pramod T. Shitole,AUTO MONITORING ENERGY-EFFICIENT WIRELESS SENSOR NETWORK SYSTEM FOR A GRAPE FARMLAND,"Home,Vol 1, No 3 (2012),Shitole"
,"Param Deep Singh, Jitendra Raghuvanshi",Rising of Text Mining Technique: As Unforeseen-part of Data Mining,"Home,Vol 1, No 3 (2012),Singh"
,"Sweta A. Kahurke, Bhusion N. Mahajan",A  Proposed Paper on Joint Priority Based Approach for Scheduling and Congestion Control in Multipath Multi-hop WSN,"Home,Vol 1, No 3 (2012),Kahurke"
,"Syed Murtuza Hussain Bakshi, Dr.Sesham Mayuri Raj",A Study On Computerization of Medical Record At A Corporate Hospital,"Home,Vol 1, No 4 (2012),Bakshi"
,"Prof. Darshana Kishorbhai Dave, Prof. Preeti Kishorbhai Dave",Knowledge Discovery in Databases (KDD) in online educational system through LON-CAPA system,"Home,Vol 1, No 4 (2012),Dave"
,"Anwiti Jain, Anand Rajavat, Rupali Bhartiya",An Efficient Modified K-Means Algorithm To Cluster Large Data-set In Data Mining,"Home,Vol 1, No 3 (2012),Jain"
"The demand of mobile communications in the modern world is increasing day by day and subscribers for the mobile communication technologies are growing rapidly. The data transfer rate should be maximum for uninterruptable communication .Therefore, the Radio over fiber system along with wireless communication, is used for the high speed data transfer. This combination will increase the capacity for the cellular base stations to change dynamically and meet the traffic requirements. To better understand the M-ary PSK system, a Simulink-based simulation system is designed for M-ary PSK for M=64 using communication toolbox in Simulink. In this paper we propose the suitability of 64 PSK Digital Modulation Technique for transmission and the results are analyzed on the basis of BER, scatter plot and eye diagram like performance measures.","Amanjot Kaur, Jasbir Singh",Performance Evaluation of Digital Modulation Techniques in a WCDMA-based Radio-over-Fiber Communication System,"Home,Vol 1, No 4 (2012),Kaur"
,"Neetha K. Nataraj, Dr.S. Karthik",An Analysis on Buffer Sizing in Routers and Investigating its Impact on Network Parameters,"Home,Vol 1, No 4 (2012),Nataraj"
,"Er. Rishma, Er.Lakhvir Singh, Er.Krishma Bhuchar",Biogeography Based Steganography for Color Images,"Home,Vol 1, No 4 (2012),Rishma"
,"S.U. Zagade, Dr. R.S. Kawitkar",Advanced Greenhouse Using Hybrid Wireless Technologies,"Home,Vol 1, No 4 (2012),Zagade"
,"K.K. Thoke, Prof. S.D. Lokhande",EWG-AMR Using WSN,"Home,Vol 1, No 4 (2012),Thoke"
,"Nitin Tiwari, Rajdeep Solanki, Gajaraj Pandya",An OVERVIEW OF TECHNIQUES FOR  FRAMEWORK OF FINGER STAMPING,"Home,Vol 1, No 4 (2012),Tiwari"
,"Mukesh kumar, Rohini Saxena, Anil Kumar, Pradyot Kala, Reena Pant",THEORETICAL CHARACTERIZATION OF     COPLANAR WAVEGUIDE USING CONFORMAL MAPPING,"Home,Vol 1, No 4 (2012),kumar"
 ,"Nidhi Verma, Dr. Bhavana Jharia",A New Temperature Compensation Method  For Circular Cavity Resonator Using Low Conductivity Cooling Water System Based On Convection Heat Transfer,"Home,Vol 1, No 4 (2012),Verma"
,"Ms.Divya Jyothi, Prof.D.R Ingle",Ecommerce Dealer Agent Mechanism in Cloud Computing Environment,"Home,Vol 1, No 4 (2012),Jyothi"
 ,"Snehal H. Kuche, A. R. Deshmukh, S. S. Dorle",Mobility in Vehicular Ad-Hoc Network Based On Collaborative System,"Home,Vol 1, No 4 (2012),Kuche"
,"Mr. Mohammed Imdad N, Prof. Shameem Akhtar N, Prof.Mohammad Imran Akhtar",SPEAKER RECOGNITION IN NOISY ENVIRONMENT,"Home,Vol 1, No 4 (2012),Imdad N"
,"V. Glory, Ch.Ravi Kumar, Dr.K.Padma Raju",Design of Robust Turbo Code Interleaver by Differential Evolution and Genetic Algorithms,"Home,Vol 1, No 4 (2012),Glory"
,"Annie Chacko, M.Sadish Sendil, DR. S Karthik",Consistency Maintenance Of Continuous Queries In Unstructured Overlay Networks,"Home,Vol 1, No 4 (2012),Chacko"
 ,"Ms. Vaishali Zilpe, Dr. P. N. Chatur",iNavigate-An Android Based Navigation Application,"Home,Vol 1, No 4 (2012),Zilpe"
 ,"Vijay.S. Gulhane, Dr. M.S. Ali",Compressed XML Database and Query Evaluation over XML Databases,"Home,Vol 1, No 4 (2012),Gulhane"
,"Y Mohan Reddy, K Manjunath, K Yogaprasad",Performance and Analysis of DS-CDMA Rake Receiver and Analyzing the BER Performance in Presence of Nonlinear Distortion in DS-CDMA System,"Home,Vol 1, No 5 (2012),Reddy"
,"Ranjeet Jaiswal, Manish Chand Sahu, Ankur Mishra, Sanjay Sharma",SURVEY OF ENERGY EFFICIENT MULTICAST ROUTING PROTOCOLS IN MANET,"Home,Vol 1, No 5 (2012),Jaiswal"
,Sanjeev Narayan Bal,Roadmaps for Usability Engineering,"Home,Vol 1, No 5 (2012),Bal"
,"Bhanu Sukhija, Sukhvir Singh",Improved K-Means clustering technique using distance determination approach,"Home,Vol 1, No 5 (2012),Sukhija"
,"Kuldeep Kaur, Mr. Sudhanshu Prakash Tiwari",Grid Scheduling Using PSO with SPV Rule,"Home,Vol 1, No 5 (2012),Kaur"
,"Abha Tamrakar, Vinti Nanda",A Compression Algorithm for Optimization of Storage Consumption of Non Oracle Database,"Home,Vol 1, No 5 (2012),Tamrakar"
,"Meera Kapoor, Vaishali Wadhwa",Optimization of DE Jong’s Function Using Genetic Algorithm Approach,"Home,Vol 1, No 5 (2012),Kapoor"
,"Tanuja Khurana, Sukhvir Singh, Nitin Goyal",An Evaluation of Ad-hoc Routing Protocols for Wireless Sensor Networks,"Home,Vol 1, No 5 (2012),Khurana"
,"Purushottam Patel, Rupali Soni",A survey on Selfishness and Countermeasure in MANET,"Home,Vol 1, No 4 (2012),Patel"
,"R. Vijaya Prakash, A. Govardhan, SSVN. Sarma",Concise Representation of Multi-level Association Rules using MinMaxExact Rules,"Home,Vol 1, No 5 (2012),Prakash"
,"G.Naveen Samuel, D. Daniel",Multicast Data Transmission Using Distance Vector Multicast Routing Protocol,"Home,Vol 1, No 5 (2012),Samuel"
,"Preeti Yadav, Yogesh Rathore, Aarti Yadu",DWT Based Copy-Move Image Forgery Detection,"Home,Vol 1, No 5 (2012),Yadav"
"Radar Cross Section (RCS) depends on the characteristic dimensions of the object compared to the radar wave length. The Radar Cross Section of the target determines the power density returned to the radar for a particular power density incident on the target. The cross section is more dependent on the target shape than its physical size. The radar antenna captures a portion of echo energy incident on it. Radar Cross Section fluctuates as a function of radar aspect angle and frequency.Using the MAT LAB Programming, Prediction of Radar cross section `σ`  for simple shapes of targets like Sphere, Ellipsoid and Circular Flat Plate. The methods of controlling radar cross section and penalties of implementing these methods are discussed. The four basic techniques for reducing radar cross section (target shaping, radar absorbing materials, passive cancellation, and active cancellation) are summarized with their advantages and disadvantages.","R.Radha Krishna, R.Murali Krishna, R.Gopi Krishna, D. Sekhar",RADAR CROSS SECTION PREDICTION FOR DIFFERENT OBJECTS USING MAT LAB AND RADAR CROSS SECTION (RCS) REDUCTION,"Home,Vol 1, No 5 (2012),Krishna"
,"Ravibabu. V, Amudha. T",An Ant Inspired Bacterial Foraging Methodology Proposed to Solve Open Shop Scheduling Problems,"Home,Vol 1, No 5 (2012),V"
 ,"Vishal Goyal, Dr.U.S. Pandey, Sanjay Batra",Bio-metric Trust and Security in Mobile Banking,"Home,Vol 1, No 5 (2012),Goyal"
 ,"Smita  K. Chaudhari, G.A. Kulkarni",ANN Implementation for Classification of Noisy Numeral Corrupted By Salt and Pepper Noise,"Home,Vol 1, No 5 (2012),Chaudhari"
 ,"Tadrash Shah, Neel Patel, Nishidh Chavda",Formulation of Homogenous Cluster Environment using Commodity Grade computers and MPI Paradigm,"Home,Vol 1, No 5 (2012),Shah"
,,,
,,,
,"Mr. Suyog K. Dahule, Dr. M.A. Gaikwad",Design & Analysis of   Matrix Arbiter for NoC Architecture,"Home,Vol 1, No 5 (2012),Dahule"
,,,
,,,
 ,"Shaik Riyaz, J. Rajakala, M RamaKrishna",Data Security and Authentication using                      Steganography and STS protocol,"Home,Vol 1, No 5 (2012),Riyaz"
,"Ms. Banshri Raichana, Mrs. Sangeeta Kulkarni",Performance analysis of networks using RED for congestion control,"Home,Vol 1, No 5 (2012),Raichana"
,"Pakkiraiah Chakali, Adilakshmi Siliveru, Neelima Koppala",Design of High Speed Six Transistor Full Adder using a Novel Two Transistor XOR Gates,"Home,Vol 1, No 5 (2012),Chakali"
,"Ruby Shukla, Manish ., Prof. A.K. Arora",Image Watermarking Analysis: Using   Discrete Cosine Transform and LSB    Substitution,"Home,Vol 1, No 5 (2012),Shukla"
"Today, handwritten script recognition is challenging part in the computer science. It is important to know a script used in writing. Script recognitions have many important applications like automatic transcription of multilingual documents, searching document image, script sorting.  Proposed work emphasis on the “block level technique” where script recognition recognizes the script of the given document in a mixture of various script documents. There has an important role of computational field like artificial intelligence, expect system. Feature extraction technique is an important step in Script recognition. In this project, we have used combined approach of Discrete Cosine Transform (DCT) and discrete wavelets Transform (DWT) for feature extraction and neural network (feed forward back propagation) classifier for classification and recognition purpose. Human mind can easily trace handwritten script so there have we use Artificial intelligence in which we use classifier neural network. The proposed system has been experimented on three handwritten scripts Hindi, English and Urdu. Our database contains 961 handwritten samples, written in three scripts. Every script (Hindi, English and Urdu) contains 320 samples (160 samples are written in small font and another 160 samples are in large font).","Akhilesh Pandey, Sunita Singh, Rajiv Kumar, Amod Tiwari",Handwritten Script recognition using Soft Computing,"Home,Vol 1, No 6 (2012),Pandey"
,"Leena Nanda, Vikas Beniwal",Frequent Itemsets Patterns in Data Mining,"Home,Vol 1, No 6 (2012),Nanda"
,"Gajendra Singh, Ravindra Gupta, Shubhra Mukherjee",A Survey on Cloud Computing and its Services,"Home,Vol 1, No 5 (2012),Singh"
,"Sandeep Lalasaheb Dhende, Prof. Mrs. D. M. Bhalerao",Detection/Removal of Black Hole Attack in Mobile Ad-Hoc Networks,"Home,Vol 1, No 6 (2012),Dhende"
 ,"Navneet Kaur Dhillon, Mrs. Uzma Ansari","Enterprise Network Traffic Monitoring, Analysis, and Reporting using Winpcap Tool a packet capturing API","Home,Vol 1, No 6 (2012),Dhillon"
,"Alok Agarwal, Siddiqui Naushad Ather, Alok Kushwaha, P.K. Singhal",Bandwidth Enhancement of a Compact Rectangular Microstrip Patch Antenna,"Home,Vol 1, No 6 (2012),Agarwal"
